Wall time,Step,Value
1654490393.5316591,1000,9.800000190734863
1654490427.007537,2000,11.300000190734863
1654490475.860451,3000,10.5
1654490514.9945412,4000,8.399999618530273
1654490544.4236438,5000,10.300000190734863
1654490573.209078,6000,9.300000190734863
1654490615.227644,7000,12.300000190734863
1654490653.742777,8000,10.199999809265137
1654490680.133707,9000,8.800000190734863
1654490707.198188,10000,9.100000381469727
1654490765.418476,11000,8.0
1654490790.470421,12000,13.0
1654490823.474354,13000,11.0
1654490869.363748,14000,9.100000381469727
1654490916.544199,15000,15.0
1654491051.7386801,16000,47.70000076293945
1654491151.467694,17000,50.0
1654491251.006759,18000,50.0
1654491347.081574,19000,50.0
1654491444.765582,20000,50.0
1654491542.379642,21000,50.0
1654491641.5797539,22000,50.0
1654491752.385532,23000,50.0
1654491844.4075022,24000,50.0
1654491915.580378,25000,46.900001525878906
1654491997.3485692,26000,50.0
1654492081.101322,27000,48.70000076293945
1654492164.869796,28000,50.0
1654492242.904641,29000,46.0
1654492334.35629,30000,45.599998474121094
1654492446.2793999,31000,50.0
1654492512.25743,32000,46.79999923706055
1654492588.588222,33000,50.0
1654492657.643819,34000,50.0
1654492725.7430038,35000,48.900001525878906
1654492805.409096,36000,50.0
1654492872.1688619,37000,50.0
1654492932.2033842,38000,50.0
1654492989.555019,39000,46.400001525878906
1654493056.0693052,40000,50.0
1654493126.424039,41000,50.0
1654493195.806487,42000,50.0
1654493262.767338,43000,50.0
1654493336.635215,44000,50.0
1654493403.228565,45000,50.0
1654493469.95295,46000,50.0
1654493550.1332312,47000,50.0
1654493619.344098,48000,49.20000076293945
1654493692.4956632,49000,50.0
1654493753.071967,50000,50.0
1654493820.387109,51000,50.0
1654493887.1337879,52000,50.0
1654493954.821567,53000,50.0
1654494022.091608,54000,50.0
1654494083.421558,55000,50.0
1654494143.895267,56000,50.0
1654494215.811591,57000,50.0
1654494276.8976572,58000,46.70000076293945
1654494337.138046,59000,50.0
1654494406.402884,60000,50.0
1654494468.396554,61000,50.0
1654494554.804317,62000,50.0
1654494622.89376,63000,50.0
1654494682.493641,64000,49.5
1654494744.247932,65000,50.0
1654494808.479795,66000,50.0
1654494869.742634,67000,50.0
1654494934.513451,68000,50.0
1654494995.103277,69000,50.0
1654495061.279531,70000,50.0
1654495124.054788,71000,50.0
1654495185.0091321,72000,50.0
1654495245.214782,73000,50.0
1654495306.767997,74000,50.0
1654495373.736328,75000,50.0
1654495434.617675,76000,50.0
1654495508.600542,77000,50.0
1654495561.201323,78000,50.0
1654495613.658623,79000,50.0
1654495666.183069,80000,50.0
1654495718.5352802,81000,50.0
1654495771.118696,82000,50.0
1654495820.8007622,83000,46.5
1654495873.1278038,84000,50.0
1654495925.439911,85000,50.0
1654495977.914759,86000,50.0
1654496030.534814,87000,50.0
1654496080.209168,88000,46.20000076293945
1654496132.63562,89000,50.0
1654496185.070755,90000,50.0
1654496237.2072058,91000,50.0
1654496288.967508,92000,49.29999923706055
1654496363.6039171,93000,50.0
1654496416.633912,94000,50.0
1654496469.695081,95000,50.0
1654496523.167903,96000,50.0
1654496576.561933,97000,50.0
1654496630.717508,98000,50.0
1654496683.951552,99000,45.900001525878906
1654496737.549526,100000,50.0
