Wall time,Step,Value
1654483530.0631611,1000,12.600000381469727
1654483666.4885492,2000,46.20000076293945
1654483777.814191,3000,45.79999923706055
1654483891.134183,4000,50.0
1654483988.517338,5000,50.0
1654484070.0493371,6000,50.0
1654484166.8244338,7000,50.0
1654484278.594978,8000,50.0
1654484401.47555,9000,50.0
1654484496.1304178,10000,48.099998474121094
1654484605.0772,11000,49.29999923706055
1654484703.409021,12000,45.79999923706055
1654484796.55879,13000,50.0
1654484894.4608378,14000,50.0
1654484984.5701308,15000,50.0
1654485081.289744,16000,48.099998474121094
1654485176.1907158,17000,48.29999923706055
1654485269.067862,18000,50.0
1654485358.783927,19000,50.0
1654485445.963701,20000,49.29999923706055
1654485536.099173,21000,49.29999923706055
1654485626.143121,22000,50.0
1654485707.612479,23000,50.0
1654485795.580492,24000,50.0
1654485882.037426,25000,47.79999923706055
1654485969.2136672,26000,45.5
1654486053.314813,27000,47.099998474121094
1654486145.013651,28000,47.20000076293945
1654486243.858832,29000,50.0
1654486323.319725,30000,45.29999923706055
1654486407.090256,31000,50.0
1654486493.3000991,32000,50.0
1654486592.0661042,33000,50.0
1654486674.895318,34000,50.0
1654486766.204803,35000,50.0
1654486844.1429389,36000,50.0
1654486934.717062,37000,47.5
1654487018.1320589,38000,49.099998474121094
1654487114.946102,39000,50.0
1654487208.8953211,40000,50.0
1654487252.417929,41000,12.699999809265137
1654487286.835784,42000,16.600000381469727
1654487362.913296,43000,42.29999923706055
1654487444.853148,44000,50.0
1654487534.881634,45000,50.0
1654487616.069417,46000,47.79999923706055
1654487699.0991979,47000,50.0
1654487785.9652202,48000,50.0
1654487871.308946,49000,50.0
1654487951.804378,50000,46.20000076293945
1654488033.967624,51000,50.0
1654488114.658371,52000,48.0
1654488196.761662,53000,50.0
1654488281.290783,54000,48.0
1654488362.1331358,55000,50.0
1654488443.4525561,56000,50.0
1654488525.508497,57000,50.0
1654488613.267062,58000,50.0
1654488693.748665,59000,50.0
1654488784.337901,60000,50.0
1654488867.889537,61000,50.0
1654488950.007306,62000,47.0
1654489033.1612349,63000,48.29999923706055
1654489115.03502,64000,50.0
1654489192.050082,65000,45.79999923706055
1654489275.8216279,66000,50.0
1654489358.417143,67000,50.0
1654489409.500225,68000,19.0
1654489437.100868,69000,16.0
1654489483.135454,70000,16.600000381469727
1654489567.998888,71000,50.0
1654489602.497501,72000,15.399999618530273
1654489637.612764,73000,12.800000190734863
1654489677.149465,74000,17.799999237060547
1654489714.452906,75000,8.300000190734863
1654489794.39263,76000,46.599998474121094
1654489823.821352,77000,10.0
1654489879.522465,78000,15.399999618530273
1654489933.014665,79000,16.899999618530273
1654490015.042868,80000,46.70000076293945
1654490090.1569788,81000,50.0
1654490183.629868,82000,50.0
1654490269.387244,83000,49.70000076293945
1654490366.89217,84000,48.099998474121094
1654490410.394618,85000,16.200000762939453
1654490453.8558998,86000,10.699999809265137
1654490500.256661,87000,12.600000381469727
1654490601.804867,88000,50.0
1654490711.7680352,89000,50.0
1654490831.0335732,90000,50.0
1654490940.171008,91000,50.0
1654491030.46929,92000,50.0
1654491123.073232,93000,49.29999923706055
1654491213.585095,94000,47.29999923706055
1654491306.563423,95000,50.0
1654491399.8917701,96000,50.0
1654491496.6708858,97000,47.099998474121094
1654491594.345271,98000,50.0
1654491689.121835,99000,50.0
1654491781.6448672,100000,48.20000076293945
