Wall time,Step,Value
1654490393.531758,1000,8.0829496383667
1654490427.007699,2000,9.449688911437988
1654490475.860534,3000,8.724613189697266
1654490514.994625,4000,6.815181732177734
1654490544.42373,5000,8.541089057922363
1654490573.209162,6000,7.6244940757751465
1654490615.227751,7000,10.404681205749512
1654490653.742864,8000,8.441316604614258
1654490680.133795,9000,7.174532890319824
1654490707.198273,10000,7.448230266571045
1654490765.418561,11000,6.424688816070557
1654490790.470508,12000,10.99930191040039
1654490823.474439,13000,9.231451988220215
1654490869.3638349,14000,7.463456630706787
1654490916.544287,15000,13.030171394348145
1654491051.7387679,16000,39.72906494140625
1654491151.467781,17000,41.729225158691406
1654491251.0068438,18000,41.819740295410156
1654491347.0816581,19000,41.78748321533203
1654491444.7656682,20000,41.73748016357422
1654491542.3797271,21000,41.87068557739258
1654491641.579839,22000,41.72092819213867
1654491752.385621,23000,41.72093200683594
1654491844.407588,24000,41.84579849243164
1654491915.5804641,25000,39.06256103515625
1654491997.348651,26000,41.85413360595703
1654492081.196797,27000,40.58747863769531
1654492164.8698828,28000,41.74577331542969
1654492242.9047308,29000,38.329166412353516
1654492334.35638,30000,38.00422668457031
1654492446.279488,31000,41.67928695678711
1654492512.257524,32000,38.845970153808594
1654492588.5883038,33000,41.67930603027344
1654492657.6439009,34000,41.67930603027344
1654492725.74309,35000,40.67930603027344
1654492805.409188,36000,41.67930603027344
1654492872.168948,37000,41.67930603027344
1654492932.20347,38000,41.67930603027344
1654492989.555105,39000,38.595970153808594
1654493056.069389,40000,41.67930603027344
1654493126.424126,41000,41.67930221557617
1654493195.806574,42000,41.71263885498047
1654493262.767424,43000,41.67930603027344
1654493336.635303,44000,41.67930603027344
1654493403.2286599,45000,41.67930603027344
1654493469.953043,46000,41.67930603027344
1654493550.133316,47000,41.67930603027344
1654493619.344185,48000,41.012638092041016
1654493692.49588,49000,41.72911834716797
1654493753.072059,50000,41.7126350402832
1654493820.387197,51000,41.729305267333984
1654493887.133926,52000,41.71263885498047
1654493954.821653,53000,41.71263885498047
1654494022.0923169,54000,41.745948791503906
1654494083.421646,55000,41.770931243896484
1654494143.895348,56000,41.78759765625
1654494215.8116748,57000,41.70430374145508
1654494276.8977401,58000,38.91259765625
1654494337.138133,59000,41.72092819213867
1654494406.40297,60000,41.787620544433594
1654494468.39664,61000,41.720970153808594
1654494554.8044019,62000,41.82091522216797
1654494622.893844,63000,41.7625617980957
1654494682.493727,64000,41.262638092041016
1654494744.2480152,65000,41.754268646240234
1654494808.4798772,66000,41.68763732910156
1654494869.742721,67000,41.89430618286133
1654494934.513537,68000,41.83759689331055
1654494995.1033652,69000,41.71123123168945
1654495061.279616,70000,41.81249237060547
1654495124.054878,71000,41.712493896484375
1654495185.009217,72000,41.720970153808594
1654495245.214873,73000,41.779273986816406
1654495306.768089,74000,41.870689392089844
1654495373.7364109,75000,41.68763732910156
1654495434.617771,76000,41.770877838134766
1654495508.600629,77000,41.78752899169922
1654495561.201411,78000,41.762638092041016
1654495613.658714,79000,41.84578323364258
1654495666.183155,80000,41.81258010864258
1654495718.535372,81000,41.843605041503906
1654495771.118782,82000,41.73763656616211
1654495820.800849,83000,38.895896911621094
1654495873.127888,84000,41.954078674316406
1654495925.439994,85000,41.745967864990234
1654495977.914848,86000,41.67930603027344
1654496030.534901,87000,42.00986099243164
1654496080.2092538,88000,38.479244232177734
1654496132.635707,89000,41.720970153808594
1654496185.070845,90000,41.7876091003418
1654496237.2072918,91000,41.88640594482422
1654496288.967595,92000,41.13749313354492
1654496363.604012,93000,41.761539459228516
1654496416.633995,94000,41.770912170410156
1654496469.695169,95000,41.67930603027344
1654496523.167989,96000,41.77091598510742
1654496576.562022,97000,41.79597091674805
1654496630.717597,98000,41.67930603027344
1654496683.9516401,99000,38.23759841918945
1654496737.549613,100000,41.82930374145508
