Wall time,Step,Value
1654588023.3958972,1000,11.475000381469727
1654588045.023479,2000,14.25
1654588090.401888,3000,41.595970153808594
1654588134.613764,4000,41.67930603027344
1654588156.12326,5000,13.391666412353516
1654588172.176991,6000,6.924074649810791
1654588187.3091688,7000,5.534056663513184
1654588205.504072,8000,9.391666412353516
1654588228.561085,9000,15.975000381469727
1654588245.351222,10000,8.214052200317383
1654588266.5569448,11000,13.949999809265137
1654588282.5710561,12000,7.734050273895264
1654588327.354292,13000,41.81263732910156
1654588341.928589,14000,5.0217390060424805
1654588363.5331159,15000,14.307860374450684
1654588380.974647,16000,9.903726577758789
1654588401.350528,17000,11.430805206298828
1654588418.8335261,18000,7.863430976867676
1654588438.8590221,19000,12.18991756439209
1654588483.3986838,20000,41.67930603027344
1654588527.665306,21000,41.67930603027344
1654588560.4805188,22000,28.520950317382812
1654588598.108675,23000,33.103782653808594
1654588640.226741,24000,38.845970153808594
1654588684.054432,25000,41.67930603027344
1654588727.822429,26000,41.67930603027344
1654588771.525737,27000,41.70430374145508
1654588812.5878541,28000,38.762638092041016
1654588852.079883,29000,36.4959716796875
1654588888.014082,30000,32.52930450439453
1654588931.746666,31000,41.67930603027344
1654588973.910935,32000,39.695892333984375
1654589017.130185,33000,40.42930603027344
1654589058.935227,34000,39.34565734863281
1654589096.954325,35000,35.125553131103516
1654589140.1593852,36000,40.845970153808594
1654589178.379928,37000,35.270565032958984
1654589221.423284,38000,40.845970153808594
1654589257.789226,39000,32.985721588134766
1654589292.1655092,40000,30.319089889526367
1654589335.9731991,41000,41.67930603027344
1654589375.2628381,42000,36.154048919677734
1654589419.291967,43000,42.137638092041016
1654589458.6091259,44000,36.11244201660156
1654589502.678957,45000,41.095970153808594
1654589547.574542,46000,41.67930603027344
1654589587.929505,47000,37.57097244262695
1654589631.3254552,48000,41.212276458740234
1654589675.320374,49000,42.67930603027344
1654589716.550754,50000,38.42930603027344
1654589756.244995,51000,37.31263732910156
1654589800.0996249,52000,41.68763732910156
1654589840.025324,53000,37.487205505371094
1654589883.86405,54000,41.512638092041016
1654589927.711321,55000,42.395973205566406
1654589968.820522,56000,38.17930603027344
1654590012.673894,57000,42.39456558227539
1654590056.459487,58000,41.67930603027344
1654590100.303433,59000,42.16263961791992
1654590134.464276,60000,30.870967864990234
1654590177.815757,61000,41.56263732910156
1654590217.95917,62000,37.012638092041016
1654590261.682336,63000,41.67930603027344
1654590298.687242,64000,33.97770690917969
1654590342.5716858,65000,42.56263732910156
1654590381.366056,66000,36.40384292602539
1654590419.823159,67000,35.6209716796875
1654590463.4818969,68000,41.67930603027344
1654590499.345166,69000,32.11227798461914
1654590539.2602382,70000,36.91217041015625
1654590583.019056,71000,41.67930603027344
1654590622.77298,72000,37.762245178222656
1654590666.249002,73000,42.387638092041016
1654590710.482094,74000,42.020973205566406
1654590752.827515,75000,38.03751754760742
1654590791.119524,76000,35.68544387817383
1654590825.960757,77000,31.22524642944336
1654590870.067167,78000,42.19597244262695
1654590907.708699,79000,33.9956169128418
1654590940.4770508,80000,27.644174575805664
1654590983.585501,81000,40.67097091674805
1654591025.989245,82000,40.595970153808594
1654591065.167597,83000,35.762638092041016
1654591109.3400671,84000,41.71260070800781
1654591150.2526999,85000,37.90280532836914
1654591192.201382,86000,39.345970153808594
1654591234.205303,87000,39.20387268066406
1654591275.024116,88000,38.35393524169922
1654591318.2641401,89000,40.928951263427734
1654591359.937831,90000,39.020973205566406
1654591398.2321012,91000,35.095970153808594
1654591441.169796,92000,40.095970153808594
1654591483.6725729,93000,40.50430679321289
1654591525.4642718,94000,39.95430374145508
1654591569.420193,95000,41.720970153808594
1654591611.1529841,96000,38.87930679321289
1654591655.062346,97000,41.67930603027344
1654591699.1939042,98000,42.00430679321289
1654591739.987463,99000,38.27894592285156
1654591782.012393,100000,39.137638092041016
