Wall time,Step,Value
1654588023.395804,1000,13.5
1654588045.023369,2000,16.5
1654588090.401804,3000,50.0
1654588134.6136682,4000,50.0
1654588156.1231549,5000,15.600000381469727
1654588172.176897,6000,7.900000095367432
1654588187.309088,7000,6.5
1654588205.503971,8000,11.199999809265137
1654588228.560981,9000,18.299999237060547
1654588245.351134,10000,9.199999809265137
1654588266.55686,11000,16.200000762939453
1654588282.570972,12000,8.699999809265137
1654588327.354208,13000,50.0
1654588341.928503,14000,6.0
1654588363.533033,15000,16.600000381469727
1654588380.9745579,16000,10.899999618530273
1654588401.350432,17000,13.300000190734863
1654588418.833434,18000,8.899999618530273
1654588438.8589282,19000,14.0
1654588483.398586,20000,50.0
1654588527.665225,21000,50.0
1654588560.480434,22000,33.900001525878906
1654588598.108556,23000,39.70000076293945
1654588640.226656,24000,46.70000076293945
1654588684.054347,25000,50.0
1654588727.822337,26000,50.0
1654588771.525652,27000,50.0
1654588812.587771,28000,46.29999923706055
1654588852.079799,29000,43.900001525878906
1654588888.013998,30000,38.5
1654588931.746575,31000,50.0
1654588973.910843,32000,47.70000076293945
1654589017.1301,33000,48.70000076293945
1654589058.935141,34000,47.099998474121094
1654589096.9542432,35000,41.5
1654589140.159302,36000,49.099998474121094
1654589178.37984,37000,41.79999923706055
1654589221.4232,38000,49.099998474121094
1654589257.789144,39000,39.29999923706055
1654589292.165424,40000,35.79999923706055
1654589335.9731169,41000,50.0
1654589375.2627578,42000,43.20000076293945
1654589419.291878,43000,50.0
1654589458.609045,44000,43.29999923706055
1654589502.678872,45000,49.400001525878906
1654589547.574456,46000,50.0
1654589587.92942,47000,44.599998474121094
1654589631.3253708,48000,49.400001525878906
1654589675.32029,49000,50.0
1654589716.550669,50000,46.20000076293945
1654589756.2449129,51000,43.79999923706055
1654589800.099545,52000,50.0
1654589840.0252402,53000,44.29999923706055
1654589883.863966,54000,49.900001525878906
1654589927.7112372,55000,50.0
1654589968.820438,56000,45.900001525878906
1654590012.6738071,57000,50.0
1654590056.459397,58000,50.0
1654590100.3033469,59000,50.0
1654590134.464192,60000,35.900001525878906
1654590177.815673,61000,49.29999923706055
1654590217.9590871,62000,44.70000076293945
1654590261.682244,63000,50.0
1654590298.687158,64000,40.099998474121094
1654590342.5716019,65000,50.0
1654590381.365974,66000,42.79999923706055
1654590419.8230789,67000,42.29999923706055
1654590463.481815,68000,50.0
1654590499.345071,69000,38.400001525878906
1654590539.260152,70000,44.0
1654590583.018976,71000,50.0
1654590622.772893,72000,43.900001525878906
1654590666.248919,73000,49.599998474121094
1654590710.4820008,74000,50.0
1654590752.8274271,75000,45.400001525878906
1654590791.119446,76000,41.400001525878906
1654590825.960674,77000,36.29999923706055
1654590870.067086,78000,50.0
1654590907.70862,79000,40.400001525878906
1654590940.4769669,80000,33.5
1654590983.585421,81000,48.70000076293945
1654591025.989163,82000,47.5
1654591065.1675131,83000,42.599998474121094
1654591109.339987,84000,50.0
1654591150.252615,85000,45.29999923706055
1654591192.2012942,86000,47.099998474121094
1654591234.2052228,87000,47.0
1654591275.0240378,88000,45.20000076293945
1654591318.2640588,89000,48.70000076293945
1654591359.93775,90000,46.400001525878906
1654591398.232022,91000,41.5
1654591441.169711,92000,48.20000076293945
1654591483.672492,93000,47.900001525878906
1654591525.4641888,94000,46.70000076293945
1654591569.420115,95000,50.0
1654591611.1529,96000,46.5
1654591655.062253,97000,50.0
1654591699.193822,98000,50.0
1654591739.987381,99000,45.0
1654591782.012308,100000,47.0
